Nam,Tong So,Nam,Nu,Thanh_Thi,Nong_Thon
2000,38.5454,19.5487,18.9967,8.9103,29.6351
2001,39.6158,20.2079,19.4079,9.4759,30.1399
2002,40.716,20.7189,19.9971,9.8485,30.8675
2003,41.8467,21.4497,20.397,10.1042,31.7425
2004,43.0089,21.9483,21.0606,10.703,32.3059
2005,44.9045,23.4931,21.4114,11.4614,33.4431
2006,46.2387,24.6139,21.6248,12.2663,33.9724
2007,47.1603,23.9457,2321.46,12.4091,34.7512
2008,48.2096,24.709,23.5006,13.1753,35.0343
2009,49.322,25.6556,23.6664,13.2718,36.0502
2010,50.3929,25.897,24.4959,14.1066,36.2863
2011,51.3984,26.4682,24.9302,15.2519,36.1465
2012,52.348,26.9185,25.4295,15.8857,36.4623
2013,53.2456,27.37,25.875,16.0425,37.2031
2014,53.748,27.5606,26.1874,16.5255,37.2225
2015,53.9842,27.8436,26.1406,16.9109,37.0733
2016,54.4453,28.0728,26.3725,17.4499,36.9954
